Position_X,Position_Y,Position_Z,Unit,Category,Collection,TimePointID,TrackID,ID
190.89,2.26,7.45,um,Surface,Position,1,2000000000,0
189.51,2.15,7.36,um,Surface,Position,2,2000000000,36
189.15,2.09,6.98,um,Surface,Position,3,2000000000,73
188.71,2.09,6.1,um,Surface,Position,4,2000000000,110
187.78,1.97,6.2,um,Surface,Position,5,2000000000,151
190.7,1.66,4.59,um,Surface,Position,6,2000000000,192
190.96,1.35,3.01,um,Surface,Position,7,2000000000,233
195.1,1.45,2.76,um,Surface,Position,8,2000000000,274
195.47,1.29,2.6,um,Surface,Position,9,2000000000,315
188.44,1.37,2.4,um,Surface,Position,10,2000000000,357
190.96,1.36,2.71,um,Surface,Position,11,2000000000,400
193.15,1.41,2.83,um,Surface,Position,12,2000000000,441
193.28,1.43,3.07,um,Surface,Position,13,2000000000,484
191.83,1.4,3.44,um,Surface,Position,14,2000000000,529
188.33,1.33,3.87,um,Surface,Position,15,2000000000,574
184.66,1.42,4.45,um,Surface,Position,16,2000000000,619
184.5,1.63,4.32,um,Surface,Position,17,2000000000,664
184.66,1.51,4.4,um,Surface,Position,18,2000000000,709
184.1,1.5,4.3,um,Surface,Position,19,2000000000,754
183.93,1.63,4.62,um,Surface,Position,20,2000000000,802
184.72,1.46,4.69,um,Surface,Position,21,2000000000,850
185.17,1.66,4.78,um,Surface,Position,22,2000000000,897
184.64,1.79,5.03,um,Surface,Position,23,2000000000,946
184.24,1.83,4.68,um,Surface,Position,24,2000000000,997
184.46,1.75,4.56,um,Surface,Position,25,2000000000,1049
185.27,1.96,4.91,um,Surface,Position,26,2000000000,1101
185.02,1.81,5.22,um,Surface,Position,27,2000000000,1153
183.94,1.81,5.16,um,Surface,Position,28,2000000000,1205
183.36,1.46,4.9,um,Surface,Position,29,2000000000,1258
184.02,1.63,5.22,um,Surface,Position,30,2000000000,1312
184.77,1.81,4.85,um,Surface,Position,31,2000000000,1367
184.93,1.84,5.12,um,Surface,Position,32,2000000000,1424
184.95,2.01,5.57,um,Surface,Position,33,2000000000,1481
184.77,1.87,5.65,um,Surface,Position,34,2000000000,1539
186.02,1.89,5.62,um,Surface,Position,35,2000000000,1597
184.92,2.01,6.15,um,Surface,Position,36,2000000000,1654
185.04,1.85,7.11,um,Surface,Position,37,2000000000,1708
187.7,1.9,7.36,um,Surface,Position,38,2000000000,1763
190.29,1.74,8.39,um,Surface,Position,39,2000000000,1817
189.77,1.91,10.29,um,Surface,Position,40,2000000000,1874
189.47,2.31,12.08,um,Surface,Position,41,2000000000,1931
189.27,1.88,10.41,um,Surface,Position,42,2000000000,1989
193.17,1.39,9.39,um,Surface,Position,43,2000000000,2045
197.92,1.36,10.61,um,Surface,Position,44,2000000000,2115
201.85,1.14,10.56,um,Surface,Position,45,2000000000,2170
202.19,1.05,10.38,um,Surface,Position,46,2000000000,2226
202.76,1.35,10.57,um,Surface,Position,47,2000000000,2281
202.34,2.62,10.31,um,Surface,Position,48,2000000000,2336
200.82,2.54,10.59,um,Surface,Position,49,2000000000,2376
198.14,1.68,13.03,um,Surface,Position,50,2000000000,2447
193.74,1.27,14.69,um,Surface,Position,51,2000000000,2504
192.99,1.03,14.11,um,Surface,Position,52,2000000000,2560
288.2,2.14,1.85,um,Surface,Position,1,2000000001,1
288.13,2.5,2.08,um,Surface,Position,2,2000000001,37
286.08,3.21,1.91,um,Surface,Position,3,2000000001,74
284.86,3.47,2.07,um,Surface,Position,4,2000000001,111
284.57,3.58,2.06,um,Surface,Position,5,2000000001,152
283.44,3.82,2.24,um,Surface,Position,6,2000000001,193
282.98,4.29,2.07,um,Surface,Position,7,2000000001,234
281.84,5.21,2.08,um,Surface,Position,8,2000000001,275
281.28,5.43,2.03,um,Surface,Position,9,2000000001,316
281.07,5.23,1.9,um,Surface,Position,10,2000000001,358
280.36,5.18,2.21,um,Surface,Position,11,2000000001,401
280.44,5.23,2.13,um,Surface,Position,12,2000000001,442
279.56,5.23,2.38,um,Surface,Position,13,2000000001,485
278.58,5.54,2.38,um,Surface,Position,14,2000000001,530
278.2,5.96,2.56,um,Surface,Position,15,2000000001,575
278.26,6.19,2.94,um,Surface,Position,16,2000000001,620
278.16,6.78,3.39,um,Surface,Position,17,2000000001,665
278.72,7.88,3.55,um,Surface,Position,18,2000000001,710
280.55,9.51,4,um,Surface,Position,19,2000000001,755
281.88,10.85,4.23,um,Surface,Position,20,2000000001,803
282.51,11.77,4.27,um,Surface,Position,21,2000000001,851
283.25,13.22,4.41,um,Surface,Position,22,2000000001,898
283.93,13.97,4.96,um,Surface,Position,23,2000000001,947
285.13,14.4,5.46,um,Surface,Position,24,2000000001,999
286.01,15.18,5.77,um,Surface,Position,25,2000000001,1051
287.9,16.97,6.68,um,Surface,Position,26,2000000001,1103
288.85,18.39,7.2,um,Surface,Position,27,2000000001,1155
289.33,19.21,8.16,um,Surface,Position,28,2000000001,1207
290.8,19.72,8.43,um,Surface,Position,29,2000000001,1260
291.68,20.48,8.51,um,Surface,Position,30,2000000001,1314
291.59,21.72,9.18,um,Surface,Position,31,2000000001,1369
291.99,22.76,10.64,um,Surface,Position,32,2000000001,1426
293.38,23.43,11.39,um,Surface,Position,33,2000000001,1483
294.52,23.35,11.72,um,Surface,Position,34,2000000001,1541
295.51,22.95,12.48,um,Surface,Position,35,2000000001,1599
296.49,23.1,14.12,um,Surface,Position,36,2000000001,1656
297.18,23.1,15.54,um,Surface,Position,37,2000000001,1710
297.95,23.55,16.69,um,Surface,Position,38,2000000001,1765
299.2,23.66,17.77,um,Surface,Position,39,2000000001,1819
301.2,23.06,17.46,um,Surface,Position,40,2000000001,1889
302.97,22.1,17.56,um,Surface,Position,41,2000000001,1948
303.38,22.28,18.03,um,Surface,Position,42,2000000001,2004
305.06,24.17,19.41,um,Surface,Position,43,2000000001,2062
305.54,25.3,20.09,um,Surface,Position,44,2000000001,2118
306.28,26.91,20.28,um,Surface,Position,45,2000000001,2173
307.22,27.52,20.52,um,Surface,Position,46,2000000001,2228
306.98,26.87,20.8,um,Surface,Position,47,2000000001,2283
306.61,25.71,20.78,um,Surface,Position,48,2000000001,2338
306.55,25.12,20.76,um,Surface,Position,49,2000000001,2396
307.39,24.95,21.25,um,Surface,Position,50,2000000001,2453
306.71,25.11,21.84,um,Surface,Position,51,2000000001,2508
305.72,24.64,21.18,um,Surface,Position,52,2000000001,2565
303.84,24.56,20.56,um,Surface,Position,53,2000000001,2619
301.1,23.92,19.51,um,Surface,Position,54,2000000001,2675
166.12,36.96,8.87,um,Surface,Position,1,2000000002,2
166.75,35.86,10.41,um,Surface,Position,2,2000000002,38
167.75,35.44,11.8,um,Surface,Position,3,2000000002,75
167.8,35.74,12.77,um,Surface,Position,4,2000000002,112
168.22,35.66,13.39,um,Surface,Position,5,2000000002,153
168.82,34.81,13.11,um,Surface,Position,6,2000000002,194
168.87,34.13,12.77,um,Surface,Position,7,2000000002,235
168.75,33.24,13.59,um,Surface,Position,8,2000000002,276
168.54,33.05,14.55,um,Surface,Position,9,2000000002,317
168.04,33.39,14.7,um,Surface,Position,10,2000000002,359
166.89,33.3,14.19,um,Surface,Position,11,2000000002,402
165.95,32.98,13.42,um,Surface,Position,12,2000000002,443
164.96,32.66,12.5,um,Surface,Position,13,2000000002,486
163.71,32.25,11.08,um,Surface,Position,14,2000000002,531
163.38,32.04,10.5,um,Surface,Position,15,2000000002,576
163.01,31.89,10.08,um,Surface,Position,16,2000000002,621
162.59,32,10.3,um,Surface,Position,17,2000000002,666
160.96,31.6,10.7,um,Surface,Position,18,2000000002,711
159.9,31.08,10.88,um,Surface,Position,19,2000000002,756
158.93,31.18,11.38,um,Surface,Position,20,2000000002,804
156.94,31.06,12.08,um,Surface,Position,21,2000000002,852
155.29,30.61,12.25,um,Surface,Position,22,2000000002,899
153.91,29.78,12.38,um,Surface,Position,23,2000000002,948
153.46,28.79,11.95,um,Surface,Position,24,2000000002,1000
152.73,27.73,11.09,um,Surface,Position,25,2000000002,1052
153.16,27.95,11.38,um,Surface,Position,26,2000000002,1104
151.8,27.92,11.87,um,Surface,Position,27,2000000002,1156
152.18,28.24,11.5,um,Surface,Position,28,2000000002,1208
149.95,27.9,12.71,um,Surface,Position,29,2000000002,1261
151.83,28.34,11.71,um,Surface,Position,30,2000000002,1315
151.51,28.89,10.99,um,Surface,Position,31,2000000002,1370
150.6,28.76,10.67,um,Surface,Position,32,2000000002,1427
148.47,27.76,10.6,um,Surface,Position,33,2000000002,1484
147.29,26.42,10.92,um,Surface,Position,34,2000000002,1542
145.31,25.54,11.57,um,Surface,Position,35,2000000002,1600
144.62,25.56,12.1,um,Surface,Position,36,2000000002,1657
144.22,25.67,12.38,um,Surface,Position,37,2000000002,1711
143.97,26.66,12.82,um,Surface,Position,38,2000000002,1766
143.11,26.72,13.64,um,Surface,Position,39,2000000002,1820
142.67,26.63,13.52,um,Surface,Position,40,2000000002,1876
142.59,26.44,13.21,um,Surface,Position,41,2000000002,1933
142.38,26.24,13.2,um,Surface,Position,42,2000000002,1991
141.81,25.67,13.17,um,Surface,Position,43,2000000002,2047
141.11,22.12,12.17,um,Surface,Position,44,2000000002,2100
141.14,20.76,11.48,um,Surface,Position,45,2000000002,2155
143.36,23.22,11.4,um,Surface,Position,46,2000000002,2212
144.05,23.01,11.03,um,Surface,Position,47,2000000002,2267
143.64,23.38,11.43,um,Surface,Position,48,2000000002,2322
142.07,23.2,11.6,um,Surface,Position,49,2000000002,2377
140.74,22.41,12.12,um,Surface,Position,50,2000000002,2432
139.53,21.31,12.72,um,Surface,Position,51,2000000002,2489
139.21,21.73,13.53,um,Surface,Position,52,2000000002,2545
139.25,22.28,13.47,um,Surface,Position,53,2000000002,2603
138.97,22.94,13.14,um,Surface,Position,54,2000000002,2659
147.82,26.67,11.75,um,Surface,Position,55,2000000002,2714
147.87,27.43,12.38,um,Surface,Position,56,2000000002,2766
148.27,27.52,12.59,um,Surface,Position,57,2000000002,2818
148.64,28,15.52,um,Surface,Position,58,2000000002,2872
147.62,28.67,17.1,um,Surface,Position,59,2000000002,2946
145.55,29.75,17.27,um,Surface,Position,60,2000000002,3003
143.27,31.65,17.79,um,Surface,Position,61,2000000002,3059
135.93,23.32,16.11,um,Surface,Position,62,2000000002,3099
134.78,22.1,16.05,um,Surface,Position,63,2000000002,3170
134.05,20.96,15.6,um,Surface,Position,64,2000000002,3221
134.66,20,15.53,um,Surface,Position,65,2000000002,3273
135.63,19.6,16.43,um,Surface,Position,66,2000000002,3324
136.5,18.83,16.98,um,Surface,Position,67,2000000002,3375
137.25,17.86,17.38,um,Surface,Position,68,2000000002,3425
135.62,15.92,18.22,um,Surface,Position,69,2000000002,3477
134.33,14.86,18.18,um,Surface,Position,70,2000000002,3516
134.82,14.66,18.12,um,Surface,Position,71,2000000002,3570
135.38,14.21,18.21,um,Surface,Position,72,2000000002,3644
135.74,13.49,17.53,um,Surface,Position,73,2000000002,3698
135.85,10.83,16.77,um,Surface,Position,74,2000000002,3751
125.24,7.51,14.16,um,Surface,Position,75,2000000002,3788
124.59,7.09,13.64,um,Surface,Position,76,2000000002,3843
125.23,6.51,13.35,um,Surface,Position,77,2000000002,3897
124.38,6.25,13.34,um,Surface,Position,78,2000000002,3952
123.14,6.47,13.37,um,Surface,Position,79,2000000002,4008
122.59,6.54,13.17,um,Surface,Position,80,2000000002,4066
122.72,7.25,12.49,um,Surface,Position,81,2000000002,4122
122.35,7.6,12.13,um,Surface,Position,82,2000000002,4178
121.8,7.86,11.67,um,Surface,Position,83,2000000002,4235
121.56,8.44,11.6,um,Surface,Position,84,2000000002,4291
121.51,8.97,11.57,um,Surface,Position,85,2000000002,4347
121.37,9.55,11.45,um,Surface,Position,86,2000000002,4402
120.92,9.42,10.86,um,Surface,Position,87,2000000002,4457
120.01,9.74,10.47,um,Surface,Position,88,2000000002,4512
119.47,10.17,10.06,um,Surface,Position,89,2000000002,4568
119.4,10.84,10.44,um,Surface,Position,90,2000000002,4623
119.31,11.66,10.93,um,Surface,Position,91,2000000002,4677
119,12.71,11.55,um,Surface,Position,92,2000000002,4733
118.57,13.04,12.36,um,Surface,Position,93,2000000002,4790
117.91,13.26,13.86,um,Surface,Position,94,2000000002,4847
118.35,13.98,14.88,um,Surface,Position,95,2000000002,4903
119.19,15.15,15.22,um,Surface,Position,96,2000000002,4958
118.81,15.79,15.59,um,Surface,Position,97,2000000002,5011
118.28,16.16,15.97,um,Surface,Position,98,2000000002,5065
119.09,16.51,16.32,um,Surface,Position,99,2000000002,5121
118.92,16.93,16.27,um,Surface,Position,100,2000000002,5177
118.66,17.65,16.69,um,Surface,Position,101,2000000002,5232
118.6,18.2,17.26,um,Surface,Position,102,2000000002,5288
119.1,18.08,17.53,um,Surface,Position,103,2000000002,5341
119.67,17.93,17.71,um,Surface,Position,104,2000000002,5395
120.17,18.41,18.79,um,Surface,Position,105,2000000002,5447
120.06,19.06,20.08,um,Surface,Position,106,2000000002,5498
119.88,19.31,20.39,um,Surface,Position,107,2000000002,5549
119.22,18.98,21.18,um,Surface,Position,108,2000000002,5599
118.67,18.75,22.41,um,Surface,Position,109,2000000002,5651
118.45,18.86,22.49,um,Surface,Position,110,2000000002,5699
118.96,18.86,22.69,um,Surface,Position,111,2000000002,5750
119.45,18.95,23.01,um,Surface,Position,112,2000000002,5799
119.43,19.3,23.12,um,Surface,Position,113,2000000002,5848
119.48,19.47,23.47,um,Surface,Position,114,2000000002,5909
119.3,19.8,24.14,um,Surface,Position,115,2000000002,5959
119.21,20.76,24.59,um,Surface,Position,116,2000000002,6007
119.54,21.27,24.79,um,Surface,Position,117,2000000002,6055
120.01,21.52,24.79,um,Surface,Position,118,2000000002,6100
120.49,21.75,25.36,um,Surface,Position,119,2000000002,6143
120.75,22.42,24.75,um,Surface,Position,120,2000000002,6186
121.1,23,24.41,um,Surface,Position,121,2000000002,6227
121.83,22.91,23.8,um,Surface,Position,122,2000000002,6262
121.93,22.94,22.95,um,Surface,Position,123,2000000002,6304
121.46,22.51,22.7,um,Surface,Position,124,2000000002,6344
121.27,22.33,20.97,um,Surface,Position,125,2000000002,6383
121.27,23.03,20.2,um,Surface,Position,126,2000000002,6421
